region_id,voltage_kv,line_id,from_node,to_node,current_limit_a,max_loading_pct,screen_type,n_minus_1_method,precise_ac_or_dc_claim,visible_in_client_matrix,screen_status
QX-00001,110,XL-00011,BDZ-00193,BDZ-00046,660,30.83,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00012,BDZ-00193,BDZ-00015,660,11.89,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00013,BDZ-00193,BDZ-00032,660,23.38,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00014,BDZ-00193,BDZ-00105,660,31.66,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00015,BDZ-00193,BDZ-00126,660,41.06,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00016,BDZ-00193,BDZ-00177,660,15.97,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00020,BDZ-00188,BDZ-00339,511,0.85,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00021,BDZ-00188,BDZ-00339,511,33.39,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00022,BDZ-00188,BDZ-00033,376,57.98,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00023,BDZ-00188,BDZ-00034,376,23.2,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00024,BDZ-00188,BDZ-00197,1060,42.7,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00025,BDZ-00188,BDZ-00058,660,17.09,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00026,BDZ-00188,BDZ-00105,660,32.46,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00027,BDZ-00188,BDZ-00116,1060,48.22,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00028,BDZ-00188,BDZ-00117,445,16.53,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00029,BDZ-00188,BDZ-00123,376,88.64,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00030,BDZ-00188,BDZ-00126,376,65.2,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00031,BDZ-00188,BDZ-00174,1060,33.91,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
QX-00001,110,XL-00032,BDZ-00188,BDZ-00174,1060,29.35,internal_capacity_network_screen,capacity_network_contingency_screen,False,False,screen_only_without_impedance
