scenario_id,region_id,discount_rate,storage_life_years,transformer_measure_life_years,storage_fixed_om_fraction_per_year,transformer_fixed_om_fraction_per_year,classification,threshold_status,threshold_lower,threshold_upper,near_optimal_lower,near_optimal_measure_flip,annualization_robust_lower
discount_rate_low,QX-00001,0.04,10,30,0.03,0.018,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
discount_rate_low,QX-00005,0.04,10,30,0.03,0.018,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
discount_rate_high,QX-00001,0.08,10,30,0.03,0.018,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
discount_rate_high,QX-00005,0.08,10,30,0.03,0.018,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
storage_life_short,QX-00001,0.06,8,30,0.03,0.018,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
storage_life_short,QX-00005,0.06,8,30,0.03,0.018,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
storage_life_long,QX-00001,0.06,12,30,0.03,0.018,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
storage_life_long,QX-00005,0.06,12,30,0.03,0.018,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
transformer_life_short,QX-00001,0.06,10,25,0.03,0.018,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
transformer_life_short,QX-00005,0.06,10,25,0.03,0.018,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
transformer_life_long,QX-00001,0.06,10,35,0.03,0.018,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
transformer_life_long,QX-00005,0.06,10,35,0.03,0.018,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
storage_high_om_transformer_low_om,QX-00001,0.06,10,30,0.045,0.01,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
storage_high_om_transformer_low_om,QX-00005,0.06,10,30,0.045,0.01,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
storage_low_om_transformer_high_om,QX-00001,0.06,10,30,0.015,0.025,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
storage_low_om_transformer_high_om,QX-00005,0.06,10,30,0.015,0.025,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
annualization_storage_unfavorable,QX-00001,0.08,8,30,0.045,0.018,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
annualization_storage_unfavorable,QX-00005,0.08,8,30,0.045,0.018,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
annualization_storage_favorable,QX-00001,0.04,12,30,0.015,0.018,ROBUST,binding_threshold_bracketed,2.359,2.36,2.36,False,2.5
annualization_storage_favorable,QX-00005,0.04,12,30,0.015,0.018,ROBUST,binding_threshold_bracketed,2.171,2.172,2.172,False,2.3
