scenario_id,region_id,discount_rate,storage_life_years,transformer_measure_life_years,storage_fixed_om_fraction_per_year,transformer_fixed_om_fraction_per_year,unbounded_feasible,unbounded_status,unbounded_measure,unbounded_storage_modules,unbounded_capacity_action_delta_mva,strict_rcap_2_0_feasible,strict_rcap_2_0_status,strict_rcap_2_0_measure,strict_rcap_2_0_storage_modules,threshold_status,threshold_lower,threshold_upper,near_optimal_lower,near_optimal_measure_flip,unbounded_storage_cumulative_in_service_eac_wanyuan,unbounded_expansion_cumulative_in_service_eac_wanyuan,strict_rcap_2_0_storage_cumulative_in_service_eac_wanyuan,strict_rcap_2_0_expansion_cumulative_in_service_eac_wanyuan,classification,annualization_robust_lower
discount_rate_low,QX-00001,0.04,10,30,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00001-BDZ-00058-01|19|50,19,50,True,feasible,storage||138|0,138,binding_threshold_bracketed,2.359,2.36,2.36,False,61.40078923,101.8398231,445.4119794,0,ROBUST,2.5
discount_rate_low,QX-00005,0.04,10,30,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00005-BDZ-00162-01|465|50,465,50,True,feasible,storage||962|0,962,binding_threshold_bracketed,2.171,2.172,2.172,False,1500.662432,101.8398231,3104.350551,0,ROBUST,2.3
discount_rate_high,QX-00001,0.08,10,30,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00001-BDZ-00058-01|19|50,19,50,True,feasible,storage||138|0,138,binding_threshold_bracketed,2.359,2.36,2.36,False,71.71038022,143.469243,520.1995413,0,ROBUST,2.5
discount_rate_high,QX-00005,0.08,10,30,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00005-BDZ-00162-01|465|50,465,50,True,feasible,storage||962|0,962,binding_threshold_bracketed,2.171,2.172,2.172,False,1752.633394,143.469243,3625.591155,0,ROBUST,2.3
storage_life_short,QX-00001,0.06,8,30,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00001-BDZ-00058-01|19|50,19,50,True,feasible,storage||138|0,138,binding_threshold_bracketed,2.359,2.36,2.36,False,76.51957329,121.7414881,555.0862624,0,ROBUST,2.5
storage_life_short,QX-00005,0.06,8,30,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00005-BDZ-00162-01|465|50,465,50,True,feasible,storage||962|0,962,binding_threshold_bracketed,2.171,2.172,2.172,False,1870.172199,121.7414881,3868.738211,0,ROBUST,2.3
storage_life_long,QX-00001,0.06,12,30,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00001-BDZ-00058-01|19|50,19,50,True,feasible,storage||138|0,138,binding_threshold_bracketed,2.359,2.36,2.36,False,59.79301294,121.7414881,433.7488912,0,ROBUST,2.5
storage_life_long,QX-00005,0.06,12,30,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00005-BDZ-00162-01|465|50,465,50,True,feasible,storage||962|0,962,binding_threshold_bracketed,2.171,2.172,2.172,False,1461.367669,121.7414881,3023.063302,0,ROBUST,2.3
transformer_life_short,QX-00001,0.06,10,25,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00001-BDZ-00058-01|19|50,19,50,True,feasible,storage||138|0,138,binding_threshold_bracketed,2.359,2.36,2.36,False,66.43852047,129.2324826,481.9565559,0,ROBUST,2.5
transformer_life_short,QX-00005,0.06,10,25,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00005-BDZ-00162-01|465|50,465,50,True,feasible,storage||962|0,962,binding_threshold_bracketed,2.171,2.172,2.172,False,1623.786811,129.2324826,3359.052224,0,ROBUST,2.3
transformer_life_long,QX-00001,0.06,10,35,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00001-BDZ-00058-01|19|50,19,50,True,feasible,storage||138|0,138,binding_threshold_bracketed,2.359,2.36,2.36,False,66.43852047,116.8058926,481.9565559,0,ROBUST,2.5
transformer_life_long,QX-00005,0.06,10,35,0.03,0.018,True,feasible,new_third_transformer;storage|EXP-QX-00005-BDZ-00162-01|465|50,465,50,True,feasible,storage||962|0,962,binding_threshold_bracketed,2.171,2.172,2.172,False,1623.786811,116.8058926,3359.052224,0,ROBUST,2.3
storage_high_om_transformer_low_om,QX-00001,0.06,10,30,0.045,0.01,True,feasible,new_third_transformer;storage|EXP-QX-00001-BDZ-00058-01|19|50,19,50,True,feasible,storage||138|0,138,binding_threshold_bracketed,2.359,2.36,2.36,False,72.4467804,110.9974881,525.541516,0,ROBUST,2.5
storage_high_om_transformer_low_om,QX-00005,0.06,10,30,0.045,0.01,True,feasible,new_third_transformer;storage|EXP-QX-00005-BDZ-00162-01|465|50,465,50,True,feasible,storage||962|0,962,binding_threshold_bracketed,2.171,2.172,2.172,False,1770.63134,110.9974881,3662.822668,0,ROBUST,2.3
