region_id,voltage_kv,near_optimal_band,scan_rcap_low,scan_rcap_high,threshold_status,coarse_release_threshold_lower,coarse_release_threshold_upper,minimum_near_optimal_rcap_on_grid,unbounded_cost_wanyuan,cost_below_threshold_wanyuan,cost_at_or_above_threshold_wanyuan,requires_local_refinement,interpretation,scenario_id
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,163.2406123,445.4119794,163.2406123,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,discount_rate_low
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1602.502256,3104.350551,1602.502256,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,discount_rate_low
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,215.1796232,520.1995413,215.1796232,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,discount_rate_high
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1896.102637,3625.591155,1896.102637,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,discount_rate_high
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,198.2610614,555.0862624,198.2610614,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,storage_life_short
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1991.913687,3868.738211,1991.913687,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,storage_life_short
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,181.534501,433.7488912,181.534501,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,storage_life_long
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1583.109157,3023.063302,1583.109157,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,storage_life_long
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,195.6710031,481.9565559,195.6710031,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,transformer_life_short
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1753.019294,3359.052224,1753.019294,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,transformer_life_short
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,183.2444131,481.9565559,183.2444131,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,transformer_life_long
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1740.592704,3359.052224,1740.592704,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,transformer_life_long
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,183.4442685,525.541516,183.4442685,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,storage_high_om_transformer_low_om
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1881.628828,3662.822668,1881.628828,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,storage_high_om_transformer_low_om
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,191.5727486,438.3715959,191.5727486,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,storage_low_om_transformer_high_om
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1608.08477,3055.28178,1608.08477,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,storage_low_om_transformer_high_om
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,231.1957503,636.3833066,231.1957503,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,annualization_storage_unfavorable
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,2287.543864,4435.347409,2287.543864,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,annualization_storage_unfavorable
QX-00001,110,0.05,2,3,binding_threshold_bracketed,2.359,2.36,2.36,150.5276263,353.189773,150.5276263,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,annualization_storage_favorable
QX-00005,110,0.05,2,3,binding_threshold_bracketed,2.171,2.172,2.172,1291.791258,2461.597167,1291.791258,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化,annualization_storage_favorable
