rcap,rcap_numeric,region_id,voltage_kv,feasible,status,cumulative_in_service_eac_wanyuan,capacity_action_delta_mva,action_types,candidate_ids,selected_action_count,policy_basis,retirement_candidates_enabled,physical_clr_2025,policy_control_ratio_2025,installed_capacity_mva_2025,storage_modules,p_plus_mw_2025,p_minus_mw_2025,cos_phi,reverse_beta,net_load_scale,storage_cost_multiplier,expansion_cost_multiplier,scenario_id
2.0,2.0,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.0,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.0,2.0,QX-00005,110,True,feasible,3662.8226683081625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.0,2027.0,962,956.45,364.95495817834103,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.1,2.1,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.1,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.1,2.1,QX-00005,110,True,feasible,3662.8226683081625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1,2027.0,962,956.45,364.95495817834103,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.15,2.15,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.15,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.15,2.15,QX-00005,110,True,feasible,3662.8226683081625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1192953107846724,2027.0,962,956.45,364.95495817834103,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.16,2.16,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.16,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.16,2.16,QX-00005,110,True,feasible,3662.8226683081625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1192953107846724,2027.0,962,956.45,364.95495817834103,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.17,2.17,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.17,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.17,2.17,QX-00005,110,True,feasible,3662.8226683081625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1192953107846724,2027.0,962,956.45,364.95495817834103,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.171,2.171,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.171,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.171,2.171,QX-00005,110,True,feasible,3662.8226683081625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1192953107846724,2027.0,962,956.45,364.95495817834103,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.172,2.172,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.172,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.172,2.172,QX-00005,110,True,feasible,1881.6288278515315,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465,956.45,375.6034408297081,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.18,2.18,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.18,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.18,2.18,QX-00005,110,True,feasible,1881.6288278515315,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465,956.45,375.6034408297081,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.2,2.2,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.2,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.2,2.2,QX-00005,110,True,feasible,1881.6288278515315,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465,956.45,375.6034408297081,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.3,2.3,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.2679276466807456,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.3,2.3,QX-00005,110,True,feasible,1881.6288278515315,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465,956.45,375.6034408297081,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.35,2.35,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.2679276466807456,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.35,2.35,QX-00005,110,True,feasible,1881.6288278515315,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465,956.45,375.6034408297081,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.359,2.359,QX-00001,110,True,feasible,525.5415160396808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.2679276466807456,1235.0,138,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.359,2.359,QX-00005,110,True,feasible,1881.6288278515315,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465,956.45,375.6034408297081,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.36,2.36,QX-00001,110,True,feasible,183.44426849976304,50.0,new_third_transformer;storage,EXP-QX-00001-BDZ-00058-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.3597465797447437,2.3597465797447437,1285.0,19,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.36,2.36,QX-00005,110,True,feasible,1881.6288278515315,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465,956.45,375.6034408297081,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.37,2.37,QX-00001,110,True,feasible,183.44426849976304,50.0,new_third_transformer;storage,EXP-QX-00001-BDZ-00058-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.3597465797447437,2.3597465797447437,1285.0,19,544.55,0.0,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
2.37,2.37,QX-00005,110,True,feasible,1881.6288278515315,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465,956.45,375.6034408297081,0.95,0.8,1.0,1.0,1.0,storage_high_om_transformer_low_om
