region_id,voltage_kv,station_id,duration_scenario,target_forward_peak_mw,target_reverse_peak_mw,county_positive_peak_anchor_mw,county_anchor_role,reference_region_id,reference_voltage_kv,reference_station_id,reference_sample_id,reference_day_of_year,matched_sample_count,feature_distance,reverse_hours,equivalent_reverse_duration_hours,shape_evidence_status,evidence_grade,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,BDZ-00249,empirical_central,29.42,24.46,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00248,QX-00005|35|BDZ-00248|D352,352,60,0.254892242,6,4.130730051,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00249,empirical_long,29.42,24.46,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00248,QX-00005|35|BDZ-00248|D141,141,60,0.280483563,9,6.106546855,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00249,empirical_short,29.42,24.46,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00248,QX-00005|35|BDZ-00248|D267,267,60,0.2348674542,3,1.375,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00252,empirical_central,23.54,8.56,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00325,QX-00005|35|BDZ-00325|D103,103,60,0.178263239,6,3.279569892,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00252,empirical_long,23.54,8.56,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00325,QX-00005|35|BDZ-00325|D131,131,60,0.2822966802,8,5.342105263,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00252,empirical_short,23.54,8.56,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00325,QX-00005|35|BDZ-00325|D153,153,60,0.3294205413,1,1,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00261,empirical_central,11.4,9.46,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00248,QX-00005|35|BDZ-00248|D349,349,60,0.6926277572,6,4.09015025,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00261,empirical_long,11.4,9.46,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00248,QX-00005|35|BDZ-00248|D141,141,60,0.7165532949,9,6.106546855,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00261,empirical_short,11.4,9.46,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00248,QX-00005|35|BDZ-00248|D267,267,60,0.6709371861,3,1.375,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
QX-00001,35,BDZ-00275,empirical_central,8.58,-0,119.49,formal_positive_peak_anchor_kept_separate_from_station_scenario_sum,QX-00005,35,BDZ-00325,QX-00005|35|BDZ-00325|D307,307,60,0.3127722135,3,1.82,conditional_mapping_for_empirical_shape_only,C,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,1f21dead202b294a9818dc65e46d357b06af50a4ddaae0873b76f4412766d7af
