year,region_id,voltage_kv,path_id,status,reason,complete_path_status,complete_path_reason,installed_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan
2021,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,288.8,0,0.0,105.3,,2.7426400759734095,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,250.5,0,0.0,115.174619,,2.174958356059333,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,276.5,0,0.0,93.590778,,2.9543509083768917,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,276.5,0,0.0,112.361147,,2.460815036001724,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,276.5,0,0.0,119.49,,2.314001171646163,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1235.0,0,0.0,427.8,,2.886863020102852,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1235.0,0,0.0,481.402045,,2.5654232524084937,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1365.0,0,0.0,489.474752,,2.7887035938474716,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1365.0,0,0.0,517.378225,,2.6383019888399826,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1425.0,0,0.0,544.55,,2.6168395923239376,未识别,未识别,未识别,未识别,未识别,未识别
