region_id,voltage_kv,path_id,status,physical_clr_2025,policy_control_ratio_2025,installed_capacity_mva_2025,storage_modules_2025,cumulative_in_service_eac_wanyuan,action_types,candidate_ids,p_plus_mw_2025,p_minus_mw_2025
QX-00001,35,PATH_OPT_CLR_LE_2,infeasible,,,,,,none,,,
QX-00001,35,PATH_OPT_CLR_UNBOUNDED,infeasible,,,,,,none,,,
QX-00001,110,PATH_OPT_CLR_LE_2,feasible,2.2679276466807456,2.0,1235.0,138.0,481.95655594968076,storage,,544.55,0.0
QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,2.3597465797447437,2.3597465797447437,1285.0,19.0,188.18000856976303,new_third_transformer;storage,;EXP-QX-00001-BDZ-00058-01,544.55,0.0
QX-00003,35,PATH_OPT_CLR_LE_2,feasible,2.6125981727841,2.6125981727841,326.0,145.0,506.7323958472395,storage,,124.78,0.0
QX-00003,35,PATH_OPT_CLR_UNBOUNDED,feasible,2.6125981727841,2.6125981727841,326.0,145.0,506.7323958472395,storage,,124.78,0.0
QX-00003,110,PATH_OPT_CLR_LE_2,feasible,2.2346101012682493,2.0,699.5,173.0,604.7015068817583,storage,,313.03,0.0
QX-00003,110,PATH_OPT_CLR_UNBOUNDED,feasible,2.2346101012682493,2.2346101012682493,699.5,173.0,604.7015068817583,storage,,313.03,0.0
QX-00004,35,PATH_OPT_CLR_LE_2,infeasible,,,,,,none,,,
QX-00004,35,PATH_OPT_CLR_UNBOUNDED,infeasible,,,,,,none,,,
QX-00004,110,PATH_OPT_CLR_LE_2,feasible,2.972661915873116,2.0,1885.5,124.0,433.53912471027945,storage,,634.28,0.0
QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,2.972661915873116,2.972661915873116,1885.5,124.0,433.53912471027945,storage,,634.28,0.0
QX-00005,35,PATH_OPT_CLR_LE_2,infeasible,,,,,,none,,,
QX-00005,35,PATH_OPT_CLR_UNBOUNDED,infeasible,,,,,,none,,,
QX-00005,110,PATH_OPT_CLR_LE_2,feasible,2.1192953107846724,2.0,2027.0,962.0,3359.0522240281625,storage,,956.45,364.95495817834103
QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,2.1715719588060014,2.1715719588060014,2077.0,465.0,1745.5282990715316,new_third_transformer;storage,;EXP-QX-00005-BDZ-00162-01,956.45,375.6034408297081
QX-00007,35,PATH_OPT_CLR_LE_2,infeasible,,,,,,none,,,
QX-00007,35,PATH_OPT_CLR_UNBOUNDED,infeasible,,,,,,none,,,
QX-00007,110,PATH_OPT_CLR_LE_2,feasible,2.036537983542863,2.0,3113.5,0.0,0.0,none,,1528.82,0.0
QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,2.036537983542863,2.036537983542863,3113.5,0.0,0.0,none,,1528.82,0.0
QX-00008,35,PATH_OPT_CLR_LE_2,infeasible,,,,,,none,,,
QX-00008,35,PATH_OPT_CLR_UNBOUNDED,infeasible,,,,,,none,,,
QX-00008,110,PATH_OPT_CLR_LE_2,infeasible,,,,,,none,,,
QX-00008,110,PATH_OPT_CLR_UNBOUNDED,infeasible,,,,,,none,,,
QX-00009,35,PATH_OPT_CLR_LE_2,feasible,3.4865168539325846,3.4865168539325846,310.3,0.0,0.0,none,,89.0,0.0
QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,3.4865168539325846,3.4865168539325846,310.3,0.0,0.0,none,,89.0,0.0
QX-00009,110,PATH_OPT_CLR_LE_2,infeasible,,,,,,none,,,
QX-00009,110,PATH_OPT_CLR_UNBOUNDED,infeasible,,,,,,none,,,
QX-00010,35,PATH_OPT_CLR_LE_2,feasible,3.605015673981191,3.605015673981191,287.5,613.0,2140.65132767766,storage,,79.75,0.0
QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,3.605015673981191,3.605015673981191,287.5,613.0,2140.65132767766,storage,,79.75,0.0
QX-00010,110,PATH_OPT_CLR_LE_2,infeasible,,,,,,none,,,
QX-00010,110,PATH_OPT_CLR_UNBOUNDED,infeasible,,,,,,none,,,
