region_id,voltage_kv,elastic_status,rigid_status,elastic_cumulative_eac_wanyuan,rigid_cumulative_eac_wanyuan,rigid_minus_elastic_eac_wanyuan,direct_comparison_allowed,comparison_basis
QX-00001,35,infeasible,infeasible,,,,False,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00001,110,feasible,feasible,188.18000856976303,481.95655594968076,293.7765473799177,True,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00003,35,feasible,feasible,506.7323958472395,506.7323958472395,0.0,True,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00003,110,feasible,feasible,604.7015068817583,604.7015068817583,0.0,True,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00004,35,infeasible,infeasible,,,,False,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00004,110,feasible,feasible,433.53912471027945,433.53912471027945,0.0,True,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00005,35,infeasible,infeasible,,,,False,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00005,110,feasible,feasible,1745.5282990715316,3359.0522240281625,1613.523924956631,True,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00007,35,infeasible,infeasible,,,,False,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00007,110,feasible,feasible,0.0,0.0,0.0,True,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00008,35,infeasible,infeasible,,,,False,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00008,110,infeasible,infeasible,,,,False,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00009,35,feasible,feasible,0.0,0.0,0.0,True,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00009,110,infeasible,infeasible,,,,False,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00010,35,feasible,feasible,2140.65132767766,2140.65132767766,0.0,True,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
QX-00010,110,infeasible,infeasible,,,,False,same_actual_2021_asset_baseline_grandfathered_incremental_rcap
