year,region_id,voltage_kv,path_id,status,reason,installed_capacity_mva,reported_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,complete_path_status,complete_path_reason,baseline_capacity_mva,physical_clr,policy_control_capacity_mva,policy_control_ratio
2022,QX-00001,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,288.8,288.8,0.0,0.0,115.174619,0.0,2.5074968991214983,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,288.8,2.5074968991214983,288.8,2.5074968991214983
2023,QX-00001,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,288.8,288.8,0.0,0.0,93.590778,0.0,3.085774113342663,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,288.8,3.085774113342663,288.8,3.085774113342663
2024,QX-00001,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,288.8,288.8,0.0,0.0,112.361147,0.0,2.5702834806412223,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,288.8,2.5702834806412223,288.8,2.5702834806412223
2025,QX-00001,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,,,,,,,,,,,,,,infeasible,no_complete_2022_2025_feasible_path,288.8,,,
2022,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1235.0,1235.0,0.0,0.0,481.402045,0.0,2.5654232524084937,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1235.0,2.5654232524084937,1235.0,2.5654232524084937
2023,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1235.0,1235.0,0.0,0.0,489.474752,0.0,2.523112775385808,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1235.0,2.523112775385808,1235.0,2.523112775385808
2024,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1235.0,1235.0,0.0,0.0,517.378225,0.0,2.387035132759984,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1235.0,2.387035132759984,1235.0,2.387035132759984
2025,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1285.0,1285.0,19.0,1.9000000000000001,544.55,0.0,2.3597465797447437,0.0,0.0,1743.550662,188.18000856976303,1743.550662,188.18000856976303,feasible,complete_2022_2025_feasible_path,1235.0,2.3597465797447437,1285.0,2.3597465797447437
2022,QX-00003,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,326.0,326.0,0.0,0.0,120.132439,0.0,2.7136717002807207,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,326.0,2.7136717002807207,326.0,2.7136717002807207
2023,QX-00003,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,326.0,326.0,0.0,0.0,95.963958,0.0,3.397108735344159,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,326.0,3.397108735344159,326.0,3.397108735344159
