region_id,voltage_kv,positive_capacity_gap_mw,reverse_hosting_gap_mw,positive_gap_device_count,reverse_gap_device_count,station_count,measure_trigger_constraint,diagnostic_basis,cos_phi,reverse_beta
QX-00001,35,0.0,17.36,0,4,8,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00001,110,0.0,7.885000000000009,0,3,15,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00003,35,0.0,6.92,0,2,10,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00003,110,0.0,9.455000000000005,0,1,10,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00004,35,0.0,21.580000000000002,0,5,9,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00004,110,0.0,10.459999999999994,0,2,20,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00005,35,0.0,28.439999999999998,0,4,7,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00005,110,0.0,52.8,0,4,20,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00007,110,0.0,0.0,0,0,30,none,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00008,35,0.6500000000000021,12.84,1,3,6,positive_capacity_gap;reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00008,110,0.0,12.520000000000003,0,3,19,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00009,35,0.0,0.0,0,0,8,none,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00009,110,0.0,37.815,0,3,21,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00010,35,0.0,25.200000000000003,0,4,6,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
QX-00010,110,0.0,87.805,0,5,19,reverse_hosting_gap,2025 station static extrema + operating transformer group + operation-mode-aligned limits,0.95,0.8
