rcap,rcap_numeric,region_id,voltage_kv,feasible,status,cumulative_in_service_eac_wanyuan,capacity_action_delta_mva,action_types,candidate_ids,selected_action_count,policy_basis,retirement_candidates_enabled,physical_clr_2025,policy_control_ratio_2025,installed_capacity_mva_2025,storage_modules,p_plus_mw_2025,p_minus_mw_2025,cos_phi,net_load_scale,storage_cost_multiplier,expansion_cost_multiplier
2.165,2.165,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.165,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.17,2.17,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.17,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.171,2.171,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.171,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.172,2.172,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.172,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.175,2.175,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.175,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.18,2.18,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.18,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.35,2.35,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.2679276466807456,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.355,2.355,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.2679276466807456,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.359,2.359,QX-00001,110,True,feasible,481.9565559496808,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,2.2679276466807456,1235.0,138.0,544.55,0.0,0.95,1.0,1.0,1.0
2.36,2.36,QX-00001,110,True,feasible,188.18000856976303,50.0,new_third_transformer;storage,EXP-QX-00001-BDZ-00058-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.359746579744744,2.359746579744744,1285.0,19.0,544.55,0.0,0.95,1.0,1.0,1.0
2.365,2.365,QX-00001,110,True,feasible,188.18000856976303,50.0,new_third_transformer;storage,EXP-QX-00001-BDZ-00058-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.359746579744744,2.359746579744744,1285.0,19.0,544.55,0.0,0.95,1.0,1.0,1.0
2.37,2.37,QX-00001,110,True,feasible,188.18000856976303,50.0,new_third_transformer;storage,EXP-QX-00001-BDZ-00058-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.359746579744744,2.359746579744744,1285.0,19.0,544.55,0.0,0.95,1.0,1.0,1.0
unbounded,,QX-00001,110,True,feasible,188.18000856976303,50.0,new_third_transformer;storage,EXP-QX-00001-BDZ-00058-01,2,actual_2021_asset_baseline_unbounded,False,2.359746579744744,2.359746579744744,1285.0,19.0,544.55,0.0,0.95,1.0,1.0,1.0
2.165,2.165,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.165,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.17,2.17,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.17,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.171,2.171,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.171,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.172,2.172,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.172,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.175,2.175,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.175,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.18,2.18,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.18,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.35,2.35,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.355,2.355,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.359,2.359,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.36,2.36,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.365,2.365,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.37,2.37,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
unbounded,,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_unbounded,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95,1.0,1.0,1.0
2.165,2.165,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.165,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.17,2.17,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.17,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.171,2.171,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.171,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.172,2.172,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.172,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.175,2.175,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.175,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.18,2.18,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.18,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.35,2.35,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.35,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.355,2.355,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.355,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.359,2.359,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.359,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.36,2.36,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.36,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.365,2.365,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.365,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.37,2.37,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.37,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
unbounded,,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_unbounded,False,2.972661915873116,2.972661915873116,1885.5,124.0,634.28,0.0,0.95,1.0,1.0,1.0
2.165,2.165,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1192953107846724,2027.0,962.0,956.45,364.954958178341,0.95,1.0,1.0,1.0
2.17,2.17,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1192953107846724,2027.0,962.0,956.45,364.954958178341,0.95,1.0,1.0,1.0
2.171,2.171,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1192953107846724,2027.0,962.0,956.45,364.954958178341,0.95,1.0,1.0,1.0
2.172,2.172,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.175,2.175,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.18,2.18,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.35,2.35,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.355,2.355,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.359,2.359,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.36,2.36,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.365,2.365,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.37,2.37,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
unbounded,,QX-00005,110,True,feasible,1745.5282990715316,50.0,new_third_transformer;storage,EXP-QX-00005-BDZ-00162-01,2,actual_2021_asset_baseline_unbounded,False,2.1715719588060014,2.1715719588060014,2077.0,465.0,956.45,375.6034408297081,0.95,1.0,1.0,1.0
2.165,2.165,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,2.036537983542863,3113.5,0.0,1528.82,0.0,0.95,1.0,1.0,1.0
2.17,2.17,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,2.036537983542863,3113.5,0.0,1528.82,0.0,0.95,1.0,1.0,1.0
2.171,2.171,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,2.036537983542863,3113.5,0.0,1528.82,0.0,0.95,1.0,1.0,1.0
2.172,2.172,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,2.036537983542863,3113.5,0.0,1528.82,0.0,0.95,1.0,1.0,1.0
