rcap,rcap_numeric,region_id,voltage_kv,feasible,status,cumulative_in_service_eac_wanyuan,capacity_action_delta_mva,action_types,candidate_ids,selected_action_count,policy_basis,retirement_candidates_enabled,physical_clr_2025,policy_control_ratio_2025,installed_capacity_mva_2025,storage_modules,p_plus_mw_2025,p_minus_mw_2025,cos_phi,reverse_beta,scenario_id,net_load_scale,storage_cost_multiplier,expansion_cost_multiplier
1.5,1.5,QX-00001,110,True,feasible,740.9559385806031,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,1.5,1235.0,212.0,544.55,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.5,1.5,QX-00003,110,True,feasible,757.842789539062,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.5,699.5,217.0,313.03,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.5,1.5,QX-00004,110,True,feasible,754.4654193473702,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.5,1885.5,216.0,634.28,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.5,1.5,QX-00005,110,True,feasible,4597.717341528816,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.5000000000000002,2027.0,1317.0,956.45,358.30495817834105,0.9,0.8,pf0.90_beta0.80,,,
1.5,1.5,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,1.5,3113.5,0.0,1528.82,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.5,1.5,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.5,1.5,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.5,1.5,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.6,1.6,QX-00001,110,True,feasible,740.9559385806031,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,1.6,1235.0,212.0,544.55,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.6,1.6,QX-00003,110,True,feasible,757.842789539062,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.6,699.5,217.0,313.03,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.6,1.6,QX-00004,110,True,feasible,754.4654193473702,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.6,1885.5,216.0,634.28,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.6,1.6,QX-00005,110,True,feasible,4597.717341528816,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.6,2027.0,1317.0,956.45,358.30495817834105,0.9,0.8,pf0.90_beta0.80,,,
1.6,1.6,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,1.6,3113.5,0.0,1528.82,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.6,1.6,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.6,1.6,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.6,1.6,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.7,1.7,QX-00001,110,True,feasible,740.9559385806031,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,1.7,1235.0,212.0,544.55,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.7,1.7,QX-00003,110,True,feasible,757.842789539062,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.7,699.5,217.0,313.03,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.7,1.7,QX-00004,110,True,feasible,754.4654193473702,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.6999999999999995,1885.5,216.0,634.28,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.7,1.7,QX-00005,110,True,feasible,4597.717341528816,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.7000000000000002,2027.0,1317.0,956.45,358.30495817834105,0.9,0.8,pf0.90_beta0.80,,,
1.7,1.7,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,1.7,3113.5,0.0,1528.82,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.7,1.7,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.7,1.7,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.7,1.7,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.8,1.8,QX-00001,110,True,feasible,740.9559385806031,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,1.8,1235.0,212.0,544.55,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.8,1.8,QX-00003,110,True,feasible,757.842789539062,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.8,699.5,217.0,313.03,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.8,1.8,QX-00004,110,True,feasible,754.4654193473702,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.8,1885.5,216.0,634.28,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.8,1.8,QX-00005,110,True,feasible,4597.717341528816,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.8,2027.0,1317.0,956.45,358.30495817834105,0.9,0.8,pf0.90_beta0.80,,,
1.8,1.8,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,1.7999999999999998,3113.5,0.0,1528.82,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.8,1.8,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.8,1.8,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.8,1.8,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.9,0.8,pf0.90_beta0.80,,,
1.9,1.9,QX-00001,110,True,feasible,740.9559385806031,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2679276466807456,1.9,1235.0,212.0,544.55,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.9,1.9,QX-00003,110,True,feasible,757.842789539062,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.9,699.5,217.0,313.03,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.9,1.9,QX-00004,110,True,feasible,754.4654193473702,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.9,1885.5,216.0,634.28,0.0,0.9,0.8,pf0.90_beta0.80,,,
1.9,1.9,QX-00005,110,True,feasible,4597.717341528816,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.9,2027.0,1317.0,956.45,358.30495817834105,0.9,0.8,pf0.90_beta0.80,,,
