scenario_id,region_id,voltage_kv,near_optimal_band,scan_rcap_low,scan_rcap_high,threshold_status,coarse_release_threshold_lower,coarse_release_threshold_upper,minimum_near_optimal_rcap_on_grid,unbounded_cost_wanyuan,cost_below_threshold_wanyuan,cost_at_or_above_threshold_wanyuan,requires_local_refinement,interpretation
pf0.90_beta0.80,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,370.6087498720334,740.9559385806031,370.6087498720334,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.90_beta0.80,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,757.842789539062,,757.842789539062,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.90_beta0.80,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,754.4654193473702,,754.4654193473702,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.90_beta0.80,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,2192.576914832392,4597.717341528816,2192.576914832392,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.90_beta0.80,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.90_beta0.80,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.90_beta0.80,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.90_beta0.80,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.60,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,188.18000856976303,481.9565559496808,188.18000856976303,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.60,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,604.7015068817583,,604.7015068817583,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.60,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,433.53912471027945,,433.53912471027945,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.60,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,1745.5282990715316,3359.0522240281625,1745.5282990715316,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.60,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.60,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.60,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.60,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,188.18000856976303,481.9565559496808,188.18000856976303,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,604.7015068817583,,604.7015068817583,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,433.53912471027945,,433.53912471027945,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,1745.5282990715316,3359.0522240281625,1745.5282990715316,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta1.00,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,188.18000856976303,481.9565559496808,188.18000856976303,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta1.00,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,604.7015068817583,,604.7015068817583,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta1.00,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,433.53912471027945,,433.53912471027945,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta1.00,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,1745.5282990715316,3359.0522240281625,1745.5282990715316,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta1.00,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta1.00,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta1.00,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta1.00,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf1.00_beta0.80,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,121.7414881,335.57001367576066,121.7414881,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf1.00_beta0.80,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,458.3149646078381,,458.3149646078381,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf1.00_beta0.80,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,213.9593112993992,,213.9593112993992,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf1.00_beta0.80,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,1438.111485201208,2712.688016006573,1438.111485201208,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf1.00_beta0.80,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf1.00_beta0.80,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf1.00_beta0.80,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf1.00_beta0.80,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_ec0.80,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,163.83171094976302,481.9565559496808,163.83171094976302,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_ec0.80,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,604.7015068817583,,604.7015068817583,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_ec0.80,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,433.53912471027945,,433.53912471027945,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_ec0.80,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,1721.1800014515316,3359.0522240281625,1721.1800014515316,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_ec0.80,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_ec0.80,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_ec0.80,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_ec0.80,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_ec1.20,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,212.528306189763,481.9565559496808,212.528306189763,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_ec1.20,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,604.7015068817583,,604.7015068817583,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_ec1.20,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,433.53912471027945,,433.53912471027945,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_ec1.20,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,1769.8765966915316,3359.0522240281625,1769.8765966915316,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_ec1.20,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_ec1.20,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_ec1.20,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_ec1.20,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_ec1.20,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.2,2.3,2.3,387.0680585529337,747.7106789639865,387.0680585529337,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_nl1.05_ec1.20,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,779.241259244929,,779.241259244929,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_ec1.20,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,751.0880491556785,,751.0880491556785,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_ec1.20,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.0,2.1,2.1,2272.0973840751767,4685.55434198826,2272.0973840751767,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_nl1.05_ec1.20,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_ec1.20,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_ec1.20,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_ec1.20,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_sc1.20,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.2,2.3,2.3,410.91541549952046,897.2528147567839,410.91541549952046,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_nl1.05_sc1.20,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,935.0895110939148,,935.0895110939148,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_sc1.20,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,901.305658986814,,901.305658986814,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_sc1.20,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.0,2.1,2.1,2672.950606126212,5622.665210385912,2672.950606126212,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_nl1.05_sc1.20,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_sc1.20,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_sc1.20,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_sc1.20,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_ec0.80,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.2,2.3,2.3,338.3714633129337,747.7106789639865,338.3714633129337,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_nl1.05_ec0.80,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,779.241259244929,,779.241259244929,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_ec0.80,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,751.0880491556785,,751.0880491556785,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_ec0.80,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.0,2.1,2.1,2223.400788835177,4685.55434198826,2223.400788835177,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_nl1.05_ec0.80,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl1.05_ec0.80,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_ec0.80,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl1.05_ec0.80,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_sc1.20_ec0.80,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,177.11941504371566,578.3478671396169,177.11941504371566,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_sc1.20_ec0.80,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,725.64180825811,,725.64180825811,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_sc1.20_ec0.80,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,520.2469496523353,,520.2469496523353,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_sc1.20_ec0.80,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,2045.9373636458376,4030.8626688337954,2045.9373636458376,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_sc1.20_ec0.80,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_sc1.20_ec0.80,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_sc1.20_ec0.80,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_sc1.20_ec0.80,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.60_nl1.05,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.2,2.3,2.3,362.7197609329337,747.7106789639865,362.7197609329337,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.60_nl1.05,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,779.241259244929,,779.241259244929,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.60_nl1.05,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,751.0880491556785,,751.0880491556785,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.60_nl1.05,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.0,2.1,2.1,2247.749086455177,4685.55434198826,2247.749086455177,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.60_nl1.05,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.60_nl1.05,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.60_nl1.05,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.60_nl1.05,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_sc0.80_ec1.20,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.3,2.4,2.4,199.2406020958104,385.56524475974464,199.2406020958104,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_sc0.80_ec1.20,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,483.7612055054067,,483.7612055054067,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_sc0.80_ec1.20,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,346.8312997682236,,346.8312997682236,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_sc0.80_ec1.20,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.1,2.2,2.2,1445.1192344972253,2687.24177922253,1445.1192344972253,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_sc0.80_ec1.20,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_sc0.80_ec1.20,QX-00008,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_sc0.80_ec1.20,QX-00009,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_sc0.80_ec1.20,QX-00010,110,0.05,1.5,3.0,not_formed_physical_infeasible,,,,,,,False,无上限方案仍物理不可行，不形成Rcap经济阈值
pf0.95_beta0.80_nl0.95,QX-00001,110,0.05,1.5,3.0,binding_threshold_bracketed,2.4,2.5,2.5,121.7414881,322.0605329089934,121.7414881,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_nl0.95,QX-00003,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,436.9164949019712,,436.9164949019712,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl0.95,QX-00004,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,202.69295216860775,,202.69295216860775,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
pf0.95_beta0.80_nl0.95,QX-00005,110,0.05,1.5,3.0,binding_threshold_bracketed,2.2,2.3,2.3,1371.6729544476318,2576.433584307729,1371.6729544476318,True,该区间内存在最小非惩罚Rcap；再收紧将使最优技术组合或成本发生实质变化
pf0.95_beta0.80_nl0.95,QX-00007,110,0.05,1.5,3.0,non_binding_not_identified_in_horizon,,,1.5,0.0,,0.0,False,扫描范围内Rcap均不改变最优投资组合，本规划期不识别唯一阈值
