region_id,voltage_kv,evidence_grade,asset_scope_id,capacity_base_mva,capacity_year_end_equipment_mva,equipment_capacity_gap_mva,station_count_equipment,positive_peak_base_mw,positive_peak_static_upper_bound_mw,reverse_peak_base_mw,reverse_peak_static_lower_bound_mw,reverse_peak_static_upper_bound_mw,reverse_peak_basis,reverse_gap_split_static_mw,reverse_gap_parallel_static_mw,clr_model_base,clr_official_reference,pv_capacity_snapshot_mw,pv_pipeline_mw,pv_capacity_snapshot_year,pv_capacity_to_capacity_ratio,pv_capacity_to_positive_peak_ratio,quality_notes,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,C,operating_2025,276.5,276.5,0,8,119.49,122.46,,24.46,94.63,static_station_extrema_bounds_not_synchronous_peak,0,17.36,2.314001172,2.31,134.342,4.2271,2026,0.4858661844,1.12429492,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00003,35,C,operating_2025,302,302,0,10,124.78,138.18,,17.4,69.74,static_station_extrema_bounds_not_synchronous_peak,0,6.92,2.420259657,2.42,160.2811,10.6662,2026,0.5307321192,1.284509537,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00004,35,C,operating_2025,250,250,0,9,106.61,118.35,,27.57,100.83,static_station_extrema_bounds_not_synchronous_peak,0.62,21.58,2.344995779,2.34,224.891,20.1876,2026,0.899564,2.109473783,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00005,35,C,operating_2025,275,275,0,8,147.65,157.17,,27.2,106.59,static_station_extrema_bounds_not_synchronous_peak,0,28.44,1.862512699,1.86,336.0798,78.5768,2026,1.222108364,2.276192347,"2025 transformer-hour map is not source-owner approved; reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00007,35,C,operating_2025,36,36,0,1,14.68,0,,,0,static_station_extrema_bounds_not_synchronous_peak,0,0,2.452316076,2.45,0,0,2026,0,0,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00008,35,C,operating_2025,164.3,164.3,0,6,82.31,104.333,,19.84,55.4,static_station_extrema_bounds_not_synchronous_peak,0,12.84,1.996112259,2,85.6425,51.046,2026,0.5212568472,1.040487183,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00009,35,C,operating_2025,274.3,274.3,0,8,89,113.34,,18.82,58.72,static_station_extrema_bounds_not_synchronous_peak,0,0,3.082022472,3.08,124.5701,7.6196,2026,0.4541381699,1.399664045,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00010,35,C,operating_2025,232,192,-40,6,79.75,103.81,,29.5,104.87,static_station_extrema_bounds_not_synchronous_peak,2.14,25.2,2.909090909,2.91,235.464,50.716,2026,1.014931034,2.952526646,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,B,operating_2025,1425,1425,0,15,544.55,685.71,,48.09,271.95,static_station_extrema_bounds_not_synchronous_peak,0,7.885,2.616839592,2.62,529.7203,14.2118,2026,0.3717335439,0.9727670554,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00003,110,B,operating_2025,966.5,985,18.5,10,313.03,354.97,,39.38,155.93,static_station_extrema_bounds_not_synchronous_peak,0,9.455,3.087563492,3.09,476.8259,40.3713,2026,0.4933532333,1.523259432,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,use official same-voltage operating capacity and positive synchronous peak anchor; aggregate static extrema as explicit bounds only,real_2025_baseline,official_positive_anchor_static_reverse_bounds,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
