region_id,voltage_kv,station_id,parent_supply_id,all_parent_supply_ids,mixed_unit_parent_supply,parent_scope,parent_mapping_status,cross_layer_enumeration_status,cross_layer_cost_aggregated,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,BDZ-00249,BDZ-00126,BDZ-00126,False,in_scope_110kv,complete_anonymized_parent_id,eligible_but_not_enumerated_without_synchronous_transfer_and_35kv_discrete_candidates,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,mapping_complete_no_cost_propagation,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00001,35,BDZ-00252,BDZ-00208,BDZ-00072;BDZ-00208,True,external_upstream,complete_primary_parent_mixed_unit_context,mixed_unit_parent_not_eligible_for_joint_enumeration,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,primary_parent_contract_context_secondary_parent_preserved,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00001,35,BDZ-00261,BDZ-00117,BDZ-00117;BDZ-00188,True,in_scope_110kv,complete_primary_parent_mixed_unit_context,mixed_unit_parent_not_eligible_for_joint_enumeration,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,primary_parent_contract_context_secondary_parent_preserved,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00001,35,BDZ-00275,BDZ-00208,BDZ-00072;BDZ-00208,True,external_upstream,complete_primary_parent_mixed_unit_context,mixed_unit_parent_not_eligible_for_joint_enumeration,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,primary_parent_contract_context_secondary_parent_preserved,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00001,35,BDZ-00279,BDZ-00126,BDZ-00126,False,in_scope_110kv,complete_anonymized_parent_id,eligible_but_not_enumerated_without_synchronous_transfer_and_35kv_discrete_candidates,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,mapping_complete_no_cost_propagation,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00001,35,BDZ-00298,BDZ-00197,BDZ-00123;BDZ-00197,True,external_upstream,complete_primary_parent_mixed_unit_context,mixed_unit_parent_not_eligible_for_joint_enumeration,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,primary_parent_contract_context_secondary_parent_preserved,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00001,35,BDZ-00299,BDZ-00126,BDZ-00126;BDZ-00208,True,in_scope_110kv,complete_primary_parent_mixed_unit_context,mixed_unit_parent_not_eligible_for_joint_enumeration,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,primary_parent_contract_context_secondary_parent_preserved,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00001,35,BDZ-00321,BDZ-00188,BDZ-00033;BDZ-00188,True,external_upstream,complete_primary_parent_mixed_unit_context,mixed_unit_parent_not_eligible_for_joint_enumeration,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,primary_parent_contract_context_secondary_parent_preserved,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00003,35,BDZ-00254,BDZ-00204,BDZ-00204,False,external_upstream,complete_anonymized_parent_id,outside_in_scope_110kv_joint_enumeration,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,mapping_complete_no_cost_propagation,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
QX-00003,35,BDZ-00258,BDZ-00007,BDZ-00007;BDZ-00222,True,in_scope_110kv,complete_primary_parent_mixed_unit_context,mixed_unit_parent_not_eligible_for_joint_enumeration,False,transformer_master.csv:parent_supply_id,电网建模数据_Agent整合版_V1.2,classify anonymized 35-kV parent against same-region in-scope 110-kV station IDs,real_2025_cross_voltage_mapping,primary_parent_contract_context_secondary_parent_preserved,41483aa3a30ba136c34a10e665a7464713439fad154c682043ecc3a1a31d8918
