region_id,voltage_kv,scheme,status,incremental_capex_low_wanyuan,incremental_capex_wanyuan,incremental_capex_high_wanyuan,incremental_eac_low_wanyuan_per_year,incremental_eac_wanyuan_per_year,incremental_eac_high_wanyuan_per_year
QX-00001,35,A,infeasible,,,,,,
QX-00001,35,B,infeasible,,,,,,
QX-00001,35,C0,noncompliant,0,0,0,0,0,0
QX-00003,35,A,feasible,3051.72075,3055.034806,3943.94925,370.9432876,506.7323856,863.7831008
QX-00003,35,B,feasible,3051.72075,3055.034806,3943.94925,370.9432876,506.7323856,863.7831008
QX-00003,35,C0,noncompliant,0,0,0,0,0,0
QX-00004,35,A,infeasible,,,,,,
QX-00004,35,B,infeasible,,,,,,
QX-00004,35,C0,noncompliant,0,0,0,0,0,0
QX-00005,35,A,infeasible,,,,,,
QX-00005,35,B,infeasible,,,,,,
QX-00005,35,C0,noncompliant,0,0,0,0,0,0
QX-00007,35,A,infeasible,,,,,,
QX-00007,35,B,infeasible,,,,,,
QX-00007,35,C0,noncompliant,0,0,0,0,0,0
QX-00008,35,A,infeasible,,,,,,
QX-00008,35,B,infeasible,,,,,,
QX-00008,35,C0,noncompliant,0,0,0,0,0,0
QX-00009,35,A,feasible,0,0,0,0,0,0
QX-00009,35,B,feasible,0,0,0,0,0,0
QX-00009,35,C0,compliant,0,0,0,0,0,0
QX-00010,35,A,feasible,12901.41255,12912.59372,16673.38545,1568.194726,2141.785556,3651.717523
QX-00010,35,B,feasible,12901.41255,12912.59372,16673.38545,1568.194726,2141.785556,3651.717523
QX-00010,35,C0,noncompliant,0,0,0,0,0,0
QX-00001,110,A,feasible,2904.3963,2912.502144,3753.5517,353.0356806,483.0907839,822.0832269
QX-00001,110,B,feasible,1569.88065,1750.388862,2032.79335,122.991829,189.3142468,293.1024008
QX-00001,110,C0,noncompliant,0,0,0,0,0,0
QX-00003,110,A,feasible,3641.01855,3645.680054,4705.53945,442.5737155,604.7015069,1030.582596
QX-00003,110,B,feasible,3641.01855,3645.680054,4705.53945,442.5737155,604.7015069,1030.582596
QX-00003,110,C0,noncompliant,0,0,0,0,0,0
QX-00004,110,A,feasible,2609.7474,2613.760482,3372.7566,317.2204666,433.5391144,738.6834793
QX-00004,110,B,feasible,2609.7474,2613.760482,3372.7566,317.2204666,433.5391144,738.6834793
QX-00004,110,C0,noncompliant,0,0,0,0,0,0
QX-00005,110,A,feasible,26623.63275,26632.97435,34407.55725,3236.160406,4417.557077,7535.762914
QX-00005,110,B,feasible,15797.21325,15979.96742,20419.75675,1852.355018,2549.545388,4320.118788
QX-00005,110,C0,noncompliant,0,0,0,0,0,0
QX-00007,110,A,feasible,0,0,0,0,0,0
QX-00007,110,B,feasible,0,0,0,0,0,0
QX-00007,110,C0,compliant,0,0,0,0,0,0
QX-00008,110,A,infeasible,,,,,,
QX-00008,110,B,infeasible,,,,,,
QX-00008,110,C0,noncompliant,0,0,0,0,0,0
QX-00009,110,A,infeasible,,,,,,
QX-00009,110,B,infeasible,,,,,,
QX-00009,110,C0,noncompliant,0,0,0,0,0,0
QX-00010,110,A,infeasible,,,,,,
QX-00010,110,B,infeasible,,,,,,
QX-00010,110,C0,noncompliant,0,0,0,0,0,0
