region_id,voltage_kv,station_id,transformer_count,capacity_year_end_mva,largest_transformer_mva,forward_peak_static_mw,reverse_peak_static_mw,forward_limit_mw,reverse_beta_split,reverse_beta_parallel,reverse_limit_split_mw,reverse_limit_parallel_mw,reverse_limit_lower_mw,reverse_limit_upper_mw,reverse_gap_split_static_mw,reverse_gap_parallel_static_mw,operation_mode_assessment,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,BDZ-00249,2,40,20,29.42,24.46,38,0.8,0.5,30.4,19,19,30.4,0,5.46,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00252,2,40,20,23.54,8.56,38,0.8,0.5,30.4,19,19,30.4,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00261,2,20.5,12.5,11.4,9.46,19.475,0.8,0.3902439024,15.58,7.6,7.6,15.58,0,1.86,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00275,2,40,20,8.58,-0,38,0.8,0.5,30.4,19,19,30.4,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00279,2,30,20,11.82,14.52,28.5,0.8,0.3333333333,22.8,9.5,9.5,22.8,0,5.02,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00298,2,30,20,11.82,14.52,28.5,0.8,0.3333333333,22.8,9.5,9.5,22.8,0,5.02,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00299,2,36,20,15.42,7.74,34.2,0.8,0.4444444444,27.36,15.2,15.2,27.36,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00321,2,40,20,10.46,15.37,38,0.8,0.5,30.4,19,19,30.4,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00015,2,100,50,20.53,4.93,95,0.8,0.5,76,47.5,47.5,76,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00033,2,90,50,67.23,13.79,85.5,0.8,0.4444444444,68.4,38,38,68.4,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00034,2,100,50,38.96,23.06,95,0.8,0.5,76,47.5,47.5,76,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00046,2,130,80,98.92,0,123.5,0.8,0.3846153846,98.8,47.5,47.5,98.8,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00058,2,70,50,35.08,25.08,66.5,0.8,0.2857142857,53.2,19,19,53.2,0,6.08,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00072,2,71.5,40,48.91,7.08,67.925,0.8,0.4405594406,54.34,29.925,29.925,54.34,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00105,2,111.5,80,63.35,31.14,105.925,0.8,0.2825112108,84.74,29.925,29.925,84.74,0,1.215,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00116,2,100,50,29.74,48.09,95,0.8,0.5,76,47.5,47.5,76,0,0.59,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00117,2,63,31.5,25,19.7,59.85,0.8,0.5,47.88,29.925,29.925,47.88,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00123,2,113,63,38.74,21.78,107.35,0.8,0.4424778761,85.88,47.5,47.5,85.88,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00126,2,113,63,62.02,43.97,107.35,0.8,0.4424778761,85.88,47.5,47.5,85.88,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00132,2,100,50,19.51,0.33,95,0.8,0.5,76,47.5,47.5,76,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00165,2,100,50,60.44,4.12,95,0.8,0.5,76,47.5,47.5,76,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00174,2,100,50,70.02,23.61,95,0.8,0.5,76,47.5,47.5,76,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00177,2,63,31.5,7.26,5.27,59.85,0.8,0.5,47.88,29.925,29.925,47.88,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00003,35,BDZ-00254,2,30,20,4.62,0,28.5,0.8,0.3333333333,22.8,9.5,9.5,22.8,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00003,35,BDZ-00258,2,40,20,22.1,14,38,0.8,0.5,30.4,19,19,30.4,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00003,35,BDZ-00267,2,16,8,5.7,1.9,15.2,0.8,0.5,12.16,7.6,7.6,12.16,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00003,35,BDZ-00268,2,36,20,11.82,17.4,34.2,0.8,0.4444444444,27.36,15.2,15.2,27.36,0,2.2,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00003,35,BDZ-00282,2,16,8,3.62,3.17,15.2,0.8,0.5,12.16,7.6,7.6,12.16,0,0,split_parallel_sensitivity_interval,transformer_master.csv+station_static_load.csv,电网建模数据_Agent整合版_V1.2,report split and parallel reverse-capacity scenarios; parallel beta includes N-1 ratio once,real_2025_baseline,static_station_bounds_operation_mode_sensitivity,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
