region_id,voltage_kv,station_id,transformer_uid,unit_id,capacity_mva,operation_mode,forward_peak_static_mw,reverse_peak_static_mw,forward_limit_mw,reverse_beta_split,reverse_limit_split_mw,forward_gap_static_mw,reverse_gap_split_static_mw,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,BDZ-00249,QX-00001|35|BDZ-00249|#1,#1,20,unknown,13.11,19.24,19,0.8,15.2,0,4.04,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00249,QX-00001|35|BDZ-00249|#2,#2,20,unknown,16.98,17.43,19,0.8,15.2,0,2.23,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00252,QX-00001|35|BDZ-00252|#1,#1,20,unknown,11.27,4.6,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00252,QX-00001|35|BDZ-00252|#2,#2,20,unknown,14.46,4.44,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00261,QX-00001|35|BDZ-00261|#1,#1,8,unknown,2.18,-0,7.6,0.8,6.08,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00261,QX-00001|35|BDZ-00261|#2,#2,12.5,unknown,11.4,9.47,11.875,0.8,9.5,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00275,QX-00001|35|BDZ-00275|#1,#1,20,unknown,12.34,3.33,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00275,QX-00001|35|BDZ-00275|#2,#2,20,unknown,11.19,7.21,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00279,QX-00001|35|BDZ-00279|#1,#1,10,unknown,7.18,7.64,9.5,0.8,7.6,0,0.04,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00279,QX-00001|35|BDZ-00279|#2,#2,20,unknown,4.69,7.32,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00298,QX-00001|35|BDZ-00298|#1,#1,20,unknown,13.75,12.07,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00298,QX-00001|35|BDZ-00298|#2,#2,10,unknown,8.51,9.71,9.5,0.8,7.6,0,2.11,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00299,QX-00001|35|BDZ-00299|#1,#1,16,unknown,14.5,2.25,15.2,0.8,12.16,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00299,QX-00001|35|BDZ-00299|#2,#2,20,unknown,15.42,7.74,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00321,QX-00001|35|BDZ-00321|#1,#1,20,unknown,13.66,1.88,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,35,BDZ-00321,QX-00001|35|BDZ-00321|#2,#2,20,unknown,11.31,3.06,19,0.8,15.2,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00015,QX-00001|110|BDZ-00015|#1,#1,50,unknown,8.51,2.68,47.5,0.8,38,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00015,QX-00001|110|BDZ-00015|#2,#2,50,unknown,13.33,3.44,47.5,0.8,38,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00033,QX-00001|110|BDZ-00033|#1,#1,40,unknown,28.01,-0,38,0.8,30.4,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00033,QX-00001|110|BDZ-00033|#2,#2,50,unknown,45.22,19.58,47.5,0.8,38,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00034,QX-00001|110|BDZ-00034|#1,#1,50,unknown,22.63,20.43,47.5,0.8,38,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00034,QX-00001|110|BDZ-00034|#2,#2,50,unknown,25.85,15.28,47.5,0.8,38,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00046,QX-00001|110|BDZ-00046|#1,#1,80,unknown,58.44,-0,76,0.8,60.8,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
QX-00001,110,BDZ-00046,QX-00001|110|BDZ-00046|#2,#2,50,unknown,40.65,0,47.5,0.8,38,0,0,transformer_master.csv+transformer_static_load.csv,电网建模数据_Agent整合版_V1.2,apply device-level forward S*cos(phi) and split/single reverse 0.8*S*cos(phi),real_2025_baseline,static_device_screen_not_synchronous,6f5703efcd735cc3517531ecdd1cf4c5108a7181917c904d976287a9c7390249
