# 合成数据,收资后替换
板块,指标,Z1,Z2,Z3,Z4,Z5
1.推荐结果,推荐容载比R(2030),**1.31**,**2.07**,**1.78**,**1.69**,**1.71**
1.推荐结果,现状R,1.31,2.28,1.76,1.33,1.71
1.推荐结果,参考R⁺,1.31,2.28,1.76,1.33,1.71
1.推荐结果,卡边方向,正向,反向,正向,正向,正向
2.分区画像,"渗透率(PV装机/P⁺,近似最大负荷)",29.3%,186.9%,120.3%,24.1%,102.5%
2.分区画像,源荷比(PV装机/变电容量),22.3%,82.1%,68.4%,18.1%,60.1%
2.分区画像,KP档(近5年最大净负荷增长率),"—(M2,需5年史)","—(M2,需5年史)","—(M2,需5年史)","—(M2,需5年史)","—(M2,需5年史)"
2.分区画像,城乡,城,乡,乡,城,乡
2.分区画像,P⁺/P⁻(MW),229.1/0.0,153.7/190.4,113.7/71.8,150.4/0.0,146.5/68.9
3.联络度,结构联络度D(区内站均值),0.37,0.20,0.10,0.00,0.00
3.联络度,可切分度σ(区内站均值),0.38,0.30,0.08,0.00,0.00
3.联络度,"A_NTC/A_NTC⁻(MW,区自身峰时)",86.1/0.0,60.1/14.7,20.9/0.0,0.0/0.0,0.0/0.0
3.联络度,"切分利用率(方案B,|α|/σ)",0.0%,24.4%,0.0%,—,—
4.承载力与消纳,"可开放容量(DL/T2041站级margin加总,MW)",271.7,-137.9,-4.3,192.2,12.8
4.承载力与消纳,反向承载力裕度(β·ΣS−P⁻)/β·ΣS,100.0%,26.8%,55.1%,100.0%,61.7%
4.承载力与消纳,年返送小时数(h),0,2397,1648,0,1229
4.承载力与消纳,"弃光率/η(全网口径,M1未按分区拆分)",0.04%/98%,0.04%/98%,0.04%/98%,0.04%/98%,0.04%/98%
5.成本,"年化总成本(方案B,万元/年)",87.5,87.5,87.5,87.5,87.5
5.成本,"分项(切分/储能/扩容/弃光,万元/年)",切分15.0|储能0.4|扩容58.1|弃光13.9,切分15.0|储能0.4|扩容58.1|弃光13.9,切分15.0|储能0.4|扩容58.1|弃光13.9,切分15.0|储能0.4|扩容58.1|弃光13.9,切分15.0|储能0.4|扩容58.1|弃光13.9
5.成本,"红线代价ΔC(A−B,万元/年)",155.80,155.80,155.80,155.80,155.80
5.成本,单位措施成本(元/kW三档梯度),储能800|开关15万元/台|扩容160,储能800|开关15万元/台|扩容160,储能800|开关15万元/台|扩容160,储能800|开关15万元/台|扩容160,储能800|开关15万元/台|扩容160
5.成本,"R影子价格(方案A,万元/0.1R)",245.3,245.3,245.3,245.3,245.3
6.可靠性,"N-1通过率(校核,%)",50.0%,46.4%,50.0%,60.0%,66.7%
6.可靠性,EENS(MWh/年),"—(M2,需故障率数据)","—(M2,需故障率数据)","—(M2,需故障率数据)","—(M2,需故障率数据)","—(M2,需故障率数据)"
末行,导则表2区间(1.5~2.0)对照,1.5–2.0,1.5–2.0,1.5–2.0,1.5–2.0,1.5–2.0
