year,region_id,voltage_kv,official_capacity_mva,official_positive_peak_mw,official_clr,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
2021,QX-00001,35,288.8,105.3,2.74,36,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00003,35,326,141.58,2.3,16,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00004,35,243,134.17,1.81,41,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00005,35,245,80.76,3.03,21,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00007,35,56,32.43,1.73,11,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00008,35,185.6,85.55,2.17,46,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00009,35,310.3,127.59,2.43,31,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00010,35,287.5,122.09,2.35,26,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00001,110,1235,427.8,2.89,34,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00003,110,699.5,265.65,2.63,14,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00004,110,1885.5,647.41,2.91,39,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
