case,perturbed_pair,factor,dimension,weight
base,-,1.0,容量配置,0.469934
base,-,1.0,新能源渗透,0.135609
base,-,1.0,反向承载,0.280146
base,-,1.0,经济代价,0.114311
perturb,容量配置-新能源渗透,0.8,容量配置,0.453306
perturb,容量配置-新能源渗透,0.8,新能源渗透,0.146414
perturb,容量配置-新能源渗透,0.8,反向承载,0.28419
perturb,容量配置-新能源渗透,0.8,经济代价,0.11609
perturb,容量配置-新能源渗透,1.2,容量配置,0.483711
perturb,容量配置-新能源渗透,1.2,新能源渗透,0.127437
perturb,容量配置-新能源渗透,1.2,反向承载,0.276201
perturb,容量配置-新能源渗透,1.2,经济代价,0.112651
perturb,容量配置-反向承载,0.8,容量配置,0.448221
perturb,容量配置-反向承载,0.8,新能源渗透,0.137334
perturb,容量配置-反向承载,0.8,反向承载,0.298802
perturb,容量配置-反向承载,0.8,经济代价,0.115643
perturb,容量配置-反向承载,1.2,容量配置,0.488118
perturb,容量配置-反向承载,1.2,新能源渗透,0.133777
perturb,容量配置-反向承载,1.2,反向承载,0.265282
perturb,容量配置-反向承载,1.2,经济代价,0.112823
perturb,容量配置-经济代价,0.8,容量配置,0.453316
perturb,容量配置-经济代价,0.8,新能源渗透,0.137265
perturb,容量配置-经济代价,0.8,反向承载,0.286301
perturb,容量配置-经济代价,0.8,经济代价,0.123118
perturb,容量配置-经济代价,1.2,容量配置,0.483898
perturb,容量配置-经济代价,1.2,新能源渗透,0.133942
perturb,容量配置-经济代价,1.2,反向承载,0.274566
perturb,容量配置-经济代价,1.2,经济代价,0.107594
perturb,新能源渗透-反向承载,0.8,容量配置,0.467277
perturb,新能源渗透-反向承载,0.8,新能源渗透,0.127084
perturb,新能源渗透-反向承载,0.8,反向承载,0.293052
perturb,新能源渗透-反向承载,0.8,经济代价,0.112587
perturb,新能源渗透-反向承载,1.2,容量配置,0.471251
perturb,新能源渗透-反向承载,1.2,新能源渗透,0.143087
perturb,新能源渗透-反向承载,1.2,反向承载,0.27014
perturb,新能源渗透-反向承载,1.2,经济代价,0.115522
perturb,新能源渗透-经济代价,0.8,容量配置,0.469097
perturb,新能源渗透-经济代价,0.8,新能源渗透,0.128854
perturb,新能源渗透-经济代价,0.8,反向承载,0.280413
perturb,新能源渗透-经济代价,0.8,经济代价,0.121635
perturb,新能源渗透-经济代价,1.2,容量配置,0.470014
perturb,新能源渗透-经济代价,1.2,新能源渗透,0.141463
perturb,新能源渗透-经济代价,1.2,反向承载,0.279684
perturb,新能源渗透-经济代价,1.2,经济代价,0.108839
perturb,反向承载-经济代价,0.8,容量配置,0.474706
perturb,反向承载-经济代价,0.8,新能源渗透,0.137066
perturb,反向承载-经济代价,0.8,反向承载,0.266548
perturb,反向承载-经济代价,0.8,经济代价,0.121679
perturb,反向承载-经济代价,1.2,容量配置,0.465249
perturb,反向承载-经济代价,1.2,新能源渗透,0.134149
perturb,反向承载-经济代价,1.2,反向承载,0.292024
perturb,反向承载-经济代价,1.2,经济代价,0.108577
