报告章节,表/图,指标,报告值,正式结果来源,校验结果
第五章,表5-1,QX-00001无上限实际物理容载比,2.3597466,110 kV正式计算结果：2.359746579744744,通过
第五章,表5-1,QX-00001控制值2.0实际物理容载比,2.2679276,110 kV正式计算结果：2.2679276466807456,通过
第五章,表5-1,QX-00001无上限年化规划成本,188.1800,110 kV正式计算结果：188.18000856976303,通过
第五章,表5-1,QX-00001控制值2.0年化规划成本,481.9566,110 kV正式计算结果：481.9565559496808,通过
第五章,表5-1,QX-00005无上限实际物理容载比,2.1715720,110 kV正式计算结果：2.1715719588060014,通过
第五章,表5-1,QX-00005控制值2.0实际物理容载比,2.1192953,110 kV正式计算结果：2.1192953107846724,通过
第五章,表5-1,QX-00005无上限年化规划成本,1745.5283,110 kV正式计算结果：1745.5282990715316,通过
第五章,表5-1,QX-00005控制值2.0年化规划成本,3359.0522,110 kV正式计算结果：3359.0522240281625,通过
第七章,表7-2,QX-00001推荐下限,2.50,110 kV正式计算结果：2.5,通过
第七章,表7-2,QX-00005推荐下限,2.30,110 kV正式计算结果：2.3,通过
